Let's try something.	Lass uns etwas versuchen!
I have to go to sleep.	Ich muss schlafen gehen.
What is this?	Was ist das?
What's this?	Was ist das?
What is that?	Was ist das?
What is it?	Was ist das?
What's that?	Was ist das?
Today is June 18th and it is Muiriel's birthday!	Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!
Happy birthday, Muiriel!	Herzlichen Glückwunsch zum Geburtstag, Muiriel!
Muiriel has turned twenty.	Muiriel ist jetzt 20.
Muiriel is 20 now.	Muiriel ist jetzt 20.
The password is "Muiriel".	Das Passwort ist "Muiriel".
I will be back soon.	Ich werde bald zurück sein.
I'll be back right away.	Ich werde bald zurück sein.
I'm at a loss for words.	Ich finde keine Worte.
I have no words.	Ich finde keine Worte.
I don't know what to say.	Ich finde keine Worte.
This is never going to end.	Das wird nie enden.
I just don't know what to say.	Ich weiß einfach nicht, was ich sagen soll.
I simply don't know what to tell...	Ich weiß einfach nicht, was ich sagen soll.
I simply don't know what to say...	Ich weiß einfach nicht, was ich sagen soll.
That was an evil bunny.	Das war ein böses Kaninchen.
I was in the mountains.	Ich war in den Bergen.
I don't know if I have the time.	Ich weiß nicht, ob ich Zeit dazu habe.
For some reason the microphone didn't work earlier.	Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert.
Everyone must learn on their own in the end.	Letztendlich muss jeder selbst lernen.
Education in this world disappoints me.	Die Ausbildung in dieser Welt enttäuscht mich.
Learning should not be forced. Learning should be encouraged.	Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden.
It is a difficult task, choosing what is "right" or "wrong", but you have to do it.	Es ist eine schwere Aufgabe, zwischen "richtig" und "falsch" zu unterscheiden, aber man muss es tun.
It won't change anything.	Das wird nichts ändern.
That'll change nothing.	Das wird nichts ändern.
That will change nothing.	Das wird nichts ändern.
That won't change anything.	Das wird nichts ändern.
That doesn't change anything.	Das wird nichts ändern.
This will cost €30.	Das wird 30 € kosten.
I make €100 a day.	Ich verdiene 100 Euro pro Tag.
I might give up soon and have a kip instead.	Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.
I may give up soon and just nap instead.	Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.
Maybe I'll just give up soon and take a nap instead.	Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.
It's because you don't want to be alone.	Das liegt daran, dass du nicht allein sein willst.
That won't happen.	Das wird nicht passieren.
Sometimes he can be a strange guy.	Manchmal kann er ein seltsamer Junge sein.
I'll do my best not to disturb your studying.	Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.
I can only wonder if this is the same for everyone else.	Ich kann mich nur fragen, ob es für alle anderen dasselbe ist.
I suppose it's different when you think about it over the long term.	Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst.
Don't worry!	Mach dir keine Sorgen.
Don't worry about it!	Mach dir keine Sorgen.
Don't worry.	Mach dir keine Sorgen.
Stop worrying.	Mach dir keine Sorgen.
I miss you.	Ich vermisse dich.
I'll call them tomorrow when I come back.	Ich werde sie morgen anrufen, wenn ich zurückkomme.
I always liked strange personalities.	Ich mochte mysteriöse Charaktere schon immer mehr.
I always liked mysterious characters more.	Ich mochte mysteriöse Charaktere schon immer mehr.
You should sleep.	Du solltest schlafen.
I told them to send me another ticket.	Ich sagte ihnen, sie sollen mir ein neues Ticket schicken.
You're so impatient with me.	Du bist so ungeduldig mit mir.
I can't live that kind of life.	Ich kann so ein Leben nicht leben.
I once wanted to be an astrophysicist.	Ich wollte mal Astrophysiker werden.
I never liked biology.	Ich mochte Biologie noch nie.
The last person I told my idea to thought I was nuts.	Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.
If the world weren't in the shape it is now, I could trust anyone.	Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen.
It is unfortunately true.	Unglücklicherweise stimmt es.
Unfortunately, it's true.	Unglücklicherweise stimmt es.
They are too busy fighting against each other to care for common ideals.	Sie sind zu sehr damit beschäftigt, sich gegenseitig zu bekämpfen, als dass sie sich gemeinsamen Idealen widmen könnten.
Most people think I'm crazy.	Die meisten Leute denken, ich sei verrückt.
No I'm not; you are!	Nein, ich bin es nicht, du bist es!
That's MY line!	Das war mein Satz!
He's kicking me!	Er tritt mich!
He is kicking me!	Er tritt mich!
He's kicking me.	Er tritt mich!
Are you sure?	Bist du sicher?
Are you certain?	Bist du sicher?
Are you sure about this?	Bist du sicher?
Then there is a problem...	Dann haben wir ein Problem...
Oh, there is a butterfly!	Oh, da ist ein Schmetterling!
Oh, there's a butterfly!	Oh, da ist ein Schmetterling!
Hurry up.	Beeil dich!
Hurry it up!	Beeil dich!
Look sharp!	Beeil dich!
Step on it!	Beeil dich!
Hurry!	Beeil dich!
It doesn't surprise me.	Es überrascht mich nicht.
If I could be like that...	Wenn ich so sein könnte...
For some reason I feel more alive at night.	Aus irgendeinem Grund fühle ich mich nachts lebendiger.
It depends on the context.	Das kommt auf den Zusammenhang an.
Are you freaking kidding me?!	Willst du mich verdammt nochmal auf den Arm nehmen?!
That's the stupidest thing I've ever said.	Das ist das Dümmste, was ich je gesagt habe.
I don't want to be lame; I want to be cool!!	Ich will nicht erbärmlich sein, ich will cool sein!!
When I grow up, I want to be a king.	Wenn ich groß bin, will ich ein König sein.
America is a lovely place to be, if you are here to earn money.	Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen.
I'm so fat.	Ich bin so dick.
And then?	Na und?
Then what?	Na und?
So what?	Na und?
So fuckin' what.	Na und?
What's your point?	Na und?
I will shoot him.	Ich werde ihn erschießen.
I'm gonna shoot him.	Ich werde ihn erschießen.
I'm going to shoot him dead.	Ich werde ihn erschießen.
I'm not a real fish, I'm just a mere plushy.	Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier.
I'm just saying!	Ich sag's ja nur!
That was probably what influenced their decision.	Wahrscheinlich war es das, was ihre Entscheidung beeinflusst hat.
I've always wondered what it'd be like to have siblings.	Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.
This is what I would have said.	Das hätte ich gesagt.
It would take forever for me to explain everything.	Es würde ewig dauern, alles zu erklären.
It would take forever to explain everything.	Es würde ewig dauern, alles zu erklären.
It's because you're a girl.	Es liegt daran, dass du ein Mädchen bist.
Sometimes I can't help showing emotions.	Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen.
It's a word I'd like to find a substitute for.	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.
It's a word I'd like to find a replacement for.	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.
It would be something I'd have to program.	Das wäre etwas, das ich programmieren sollte.
I don't intend to be selfish.	Ich beabsichtige nicht, selbstsüchtig zu sein.
Let's think about the worst that could happen.	Lass uns über das Schlimmste, das passieren könnte, nachdenken.
Let's consider the worst that could happen.	Lass uns über das Schlimmste, das passieren könnte, nachdenken.
Let us think about the worst that could happen.	Lass uns über das Schlimmste, das passieren könnte, nachdenken.
How many close friends do you have?	Wie viele enge Freunde hast du?
I may be antisocial, but it doesn't mean I don't talk to people.	Ich bin vielleicht asozial, aber das heißt nicht, dass ich nicht mit Leuten rede.
It's always been that way.	Das ist immer so gewesen.
It's always been this way.	Das ist immer so gewesen.
That has always been so.	Das ist immer so gewesen.
This is always the way it has been.	Das ist immer so gewesen.
It's always been like that.	Das ist immer so gewesen.
I think it is best not to be impolite.	Ich denke, es ist am besten, nicht unhöflich zu sein.
One can always find time.	Man kann immer Zeit finden.
I'd be unhappy, but I wouldn't kill myself.	Ich wäre unglücklich, aber ich würde keinen Selbstmord begehen.
Back in high school, I got up at 6 a.m. every morning.	Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden.
When I woke up, I was sad.	Als ich aufgewacht bin, war ich traurig.
That is somewhat explained at the end.	Das ist am Ende einigermaßen erklärt.
I thought you liked to learn new things.	Ich dachte, du würdest gerne neue Sachen lernen.
Most people write about their daily life.	Die meisten Menschen schreiben über ihr Alltagsleben.
If I could send you a marshmallow, Trang, I would.	Wenn ich dir ein Marshmallow schicken könnte, Trang, würde ich es tun.
In order to do that, you have to take risks.	Um das zu tun, musst du Risiken eingehen.
Every person who is alone is alone because they are afraid of others.	Jeder Mensch, der allein ist, ist allein, weil er Angst vor den anderen hat.
Why are you asking?	Warum fragst du?
Why do you ask?	Warum fragst du?
I am not an artist. I never had the knack for it.	Ich bin kein Künstler. Ich hatte niemals das Zeug dazu.
I can't tell her now. It's not that simple anymore.	Ich kann es ihr jetzt nicht sagen. Das ist nicht mehr so einfach.
I am a flawed person, but these are flaws that can easily be fixed.	Ich bin ein Mensch, der viele Fehler hat, aber diese Fehler können leicht korrigiert werden.
Whenever I find something I like, it's too expensive.	Immer, wenn ich etwas finde, das mir gefällt, ist es zu teuer.
How long did you stay?	Wie lange bist du geblieben?
Maybe it will be exactly the same for him.	Vielleicht wird es für ihn genauso sein.
Innocence is a beautiful thing.	Unschuld ist eine schöne Sache.
Humans were never meant to live forever.	Die Menschen waren nie dazu gedacht, ewig zu leben.
I don't want to lose my ideas, even though some of them are a bit extreme.	Ich will meine Ideen nicht verlieren, selbst wenn einige von ihnen ein bisschen extrem sind.
I think I have a theory about that.	Ich denke, ich habe dazu eine Theorie.
That is intriguing.	Das macht neugierig.
You are saying you intentionally hide your good looks?	Meinst du gerade, dass du absichtlich deine Schönheit versteckst?
I do not have an account in these forums.	Ich habe kein Konto in diesen Foren.
If anyone was to ask what the point of the story is, I really don't know.	Wenn jemand fragen sollte, was die Pointe der Geschichte sei, ich wüsste es wirklich nicht.
I didn't know where it came from.	Ich wusste nicht, woher es kam.
I think my living with you has influenced your way of living.	Ich denke, dass mein Zusammenleben mit dir deine Lebensweise beeinflusst hat.
This is not important.	Dies ist nicht wichtig.
I don't want it.	Ich möchte es nicht.
She's asking how that's possible.	Sie fragt, wie das möglich ist.
You're just running away from life's problems.	Du läufst einfach vor den Problemen des Lebens davon.
If you look at the lyrics, they don't really mean much.	Wenn du den Liedtext anschaust, bedeutet er nicht wirklich viel.
If you look at the song's lyrics, they really don't mean much.	Wenn du den Liedtext anschaust, bedeutet er nicht wirklich viel.
There's a problem there that you don't see.	Es gibt da ein Problem, das du nicht siehst.
You can do it.	Du kannst das machen!
My physics teacher doesn't care if I skip classes.	Meinem Physiklehrer ist es egal, wenn ich den Unterricht schwänze.
I wish I could go to Japan.	Ich wünschte, ich könnte nach Japan gehen.
I hate it when there are a lot of people.	Ich hasse es, wenn viele Leute da sind.
I have to go to bed.	Ich muss ins Bett gehen.
I have to go to sleep.	Ich muss ins Bett gehen.
I won't ask you anything else today.	Ich werde dich heute nichts mehr fragen.
It may freeze next week.	Nächste Woche wird es vielleicht Frost geben.
We might have frost next week.	Nächste Woche wird es vielleicht Frost geben.
Even though he apologized, I'm still furious.	Obwohl er sich entschuldigt hat, bin ich immer noch wütend.
The police will get you to find the bullets.	Die Polizei wird euch dazu bringen, die Kugeln zu finden.
Thanks for having explained to me at last why people take me for an idiot.	Danke, dass Sie mir letzten Endes erklärt haben, warum die Leute mich für einen Idioten halten.
That wasn't my intention.	Das war nicht meine Absicht.
It wasn't my intention.	Das war nicht meine Absicht.
It was not my intention.	Das war nicht meine Absicht.
I didn't mean to do that.	Das war nicht meine Absicht.
Thank you for your explanation.	Danke für Ihre Erklärung.
Thanks for your explanation.	Danke für Ihre Erklärung.
Theoretically, I'm doing math.	Theoretisch mache ich gerade Mathe.
What happened?	Was passierte?
What's happened?	Was passierte?
If you didn't know me that way then you simply didn't know me.	Wenn du mich nicht so gekannt hast, dann hast du mich einfach gar nicht gekannt.
It almost scared me not to see you online for a whole day.	Es hat mir fast Angst gemacht, dich einen ganzen Tag nicht online zu sehen.
I don't know what you mean.	Ich weiß nicht, was du meinst.
I don't get what you mean.	Ich weiß nicht, was du meinst.
I don't understand what you mean.	Ich weiß nicht, was du meinst.
I do not know what you mean.	Ich weiß nicht, was du meinst.
My computer has got to be useful for something.	Mein Computer muss mir zu etwas nützen.
You wanted to tell me about freedom?	Du wolltest mit mir über Freiheit sprechen?
Uh, now it's really weird...	Oh, jetzt ist es wirklich verwirrend...
If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.	Wenn ich dich erschrecken wollte, würde ich dir erzählen, was ich vor ein paar Wochen geträumt habe.
One can't expect everything from schools.	Man kann nicht alles von den Schulen erwarten.
There are many words that I don't understand.	Es gibt viele Wörter, die ich nicht verstehe.
I don't like it when mathematicians who know much more than I do can't express themselves explicitly.	Ich mag es nicht, wenn Mathematiker, die viel mehr als ich wissen, sich nicht genau ausdrücken können.
I don't like it when mathematicians who know much more than I do can't express themselves clearly.	Ich mag es nicht, wenn Mathematiker, die viel mehr als ich wissen, sich nicht genau ausdrücken können.
I need to ask you a silly question.	Ich muss dir eine dumme Frage stellen.
I don't know how to demonstrate it, since it's too obvious!	Ich weiß nicht, wie ich es beweisen soll, so selbstverständlich wie es ist!
I wouldn't have thought I would someday look up "Viagra" in Wikipedia.	Ich hätte nicht gedacht, dass ich eines Tages bei Wikipedia "Viagra" nachschauen würde.
Can it be phrased in another way?	Kann man das anders ausdrücken?
Nobody will know.	Niemand wird's erfahren.
Nobody'll know.	Niemand wird's erfahren.
No one will find out.	Niemand wird's erfahren.
No one will know.	Niemand wird's erfahren.
I found a solution, but I found it so fast that it can't be the right solution.	Ich habe eine Lösung gefunden, aber ich habe sie so schnell gefunden, dass es nicht die richtige Lösung sein kann.
It seems interesting to me.	Das scheint mir interessant!
Except that here, it's not so simple.	Nur, dass es hier nicht so einfach ist.
I like candlelight.	Ich mag gerne Kerzenlicht.
What did you answer?	Was hast du geantwortet?
No, he's not my new boyfriend.	Nein, er ist nicht mein neuer Freund.
It's too bad that I don't need to lose weight.	Es ist schade, dass ich nicht abnehmen muss.
You never have class or what?!	Hast du nie Unterricht oder was?!
I will play Sudoku then instead of continuing to bother you.	Ich werde also Sudoku spielen, anstatt dich weiter zu stören.
Where is the problem?	Wo ist das Problem?
What's the problem?	Wo ist das Problem?
What is the problem?	Wo ist das Problem?
It's not much of a surprise, is it?	Das ist keine große Überraschung, oder?
I don't like you anymore.	Ich mag dich nicht mehr.
I no longer like you.	Ich mag dich nicht mehr.
I am curious.	Ich bin neugierig.
I'm curious.	Ich bin neugierig.
Congratulations!	Herzlichen Glückwunsch.
I don't want to wait that long.	Ich will nicht so lange warten.
Why don't you come visit us?	Warum kommst du uns nicht besuchen?
But the possibility seems unlikely.	Aber die Möglichkeit scheint unwahrscheinlich.
I shouldn't have logged off.	Es war eine schlechte Idee, sich abzumelden.
I don't know what to do anymore.	Ich weiß nicht mehr, was ich tun soll.
I don't know what to do any more.	Ich weiß nicht mehr, was ich tun soll.
It is inevitable that I go to France someday, I just don't know when.	Es ist unvermeidbar, dass ich eines Tages nach Frankreich gehe, ich weiß nur nicht, wann.
Sometime I'll definitely visit France. I just don't know exactly when.	Es ist unvermeidbar, dass ich eines Tages nach Frankreich gehe, ich weiß nur nicht, wann.
I hate chemistry.	Ich hasse Chemie.
I didn't want this to happen.	Ich wollte nicht, dass das passiert.
I didn't mean that to happen.	Ich wollte nicht, dass das passiert.
I didn't mean for this to happen.	Ich wollte nicht, dass das passiert.
I didn't want that to happen.	Ich wollte nicht, dass das passiert.
I did want that to happen.	Ich wollte nicht, dass das passiert.
You can probably guess what happens though.	Du kannst vermutlich erahnen, was indessen passiert.
Next thing you know, you'll be in the papers.	Bevor du dich versiehst, wirst du in der Zeitung sein.
What other options do I have?	Was für andere Optionen habe ich?
I am not much of a traveller.	Ich habe nicht viel von einem Reisenden.
I have nothing better to do.	Ich habe nichts Besseres zu tun.
I don't have anything better to do.	Ich habe nichts Besseres zu tun.
I can't explain it either.	Ich kann es auch nicht erklären.
Seriously though, episode 21 made me almost cry while laughing.	Aber im Ernst, die Episode 21 hat mich fast vor Lachen weinen lassen.
It only shows you're not a robot.	Es zeigt nur, dass du kein Roboter bist.
How could I be a robot? Robots don't dream.	Wie könnte ich ein Roboter sein? Roboter träumen nicht.
This is not something that anyone can do.	Das ist nichts, was jeder Beliebige tun kann.
It's not something anyone can do.	Das ist nichts, was jeder Beliebige tun kann.
I don't know if I still have it.	Ich weiß nicht, ob ich es noch habe.
What do you think I've been doing?	Was denkst du, was ich gerade gemacht habe?
Do not underestimate my power.	Unterschätze nicht meine Macht!
Don't underestimate my power.	Unterschätze nicht meine Macht!
My mother doesn't speak English very well.	Meine Mutter spricht nicht sehr gut Englisch.
My mom doesn't speak English very well.	Meine Mutter spricht nicht sehr gut Englisch.
I don't speak French well enough!	Ich spreche nicht gut genug Französisch!
I was wondering if you were going to show up today.	Ich fragte mich, ob du heute kommen würdest.
That's where the problem is.	Dort liegt das Problem.
Therein lies the problem.	Dort liegt das Problem.
How do you find food in outer space?	Wie findest du Nahrung im Weltraum?
All you need to do is trust each other.	Ihr müsst nichts tun, außer euch zu vertrauen.
Everyone wants to meet you. You're famous!	Alle wollen dich kennenlernen. Du bist berühmt!
Why are you sorry for something you haven't done?	Wieso tut dir etwas leid, das du nicht gemacht hast?
I utterly despise formal writing!	Ich verabscheue förmliches Schreiben zutiefst!
Foreign people intrigue me.	Ausländer machen mich neugierig.
Whatever I do, she says I can do better.	Was auch immer ich tue, sie sagt, ich kann es besser.
No matter what I do, she says I can do better.	Was auch immer ich tue, sie sagt, ich kann es besser.
What keeps you up so late?	Warum bist du um diese Uhrzeit noch wach?
You'd be surprised what you can learn in a week.	Du wärst überrascht, was man in einer Woche lernen kann.
I don't have anyone who'd travel with me.	Ich habe niemanden, der mit mir reisen würde.
You're not fast enough.	Du bist nicht schnell genug.
Life is hard, but I am harder.	Das Leben ist hart, aber ich bin härter.
Bearing can be unbearable.	Ertragen kann unerträglich sein.
Stop it! You're making her feel uncomfortable!	Hör auf! Sie fühlt sich dadurch unbehaglich!
Nothing is beautiful but the truth.	Nur die Wahrheit ist schön.
Tomorrow, he will land on the moon.	Morgen wird er auf dem Mond landen.
I can't speak Japanese.	Ich spreche kein Japanisch.
I don't speak Japanese.	Ich spreche kein Japanisch.
I couldn't speak Japanese.	Ich spreche kein Japanisch.
This is a pun.	Das ist ein Wortspiel.
No one understands me.	Niemand versteht mich.
Nobody understands me.	Niemand versteht mich.
I learned to live without her.	Ich habe gelernt, ohne sie zu leben.
It's useless to keep on thinking any more.	Das bringt nichts mehr, weiter nachzudenken.
I have too many things on my mind these days.	Mir gehen in diesen Tagen zu viele Dinge durch den Kopf.
I just wanted to check my email.	Ich wollte gerade meine E-Mails abrufen.
Do you really need to ask the question to know the answer?	Musst du wirklich die Frage stellen, um die Antwort zu erfahren?
You can't expect me to always think of everything!	Du kannst nicht von mir erwarten, dass ich immer an alles denke!
I suppose that behind each thing we have to do, there's something we want to do...	Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, das wir tun wollen...
You really don't have the right priorities!	Du hast wirklich nicht die richtigen Prioritäten!
Don't expect others to think for you!	Man darf nicht darauf warten, dass die anderen für einen denken!
You never have time for important things!	Du hast nie Zeit für die wichtigen Dinge!
It's no use pretending to make me believe that I believe things you don't believe!	Das ist die Mühe nicht wert, so zu tun, als würdest du mich dazu bringen, zu glauben, dass ich Dinge glaube, die du nicht glaubst.
It would take me too much time to explain to you why it's not going to work.	Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.
I'm so dumb... I'm trying to explain things to you that I don't understand myself.	Ich bin so blöd... ich versuche, dir Dinge zu erklären, die ich selbst nicht verstehe.
Stop seeing me as a "normal" person!	Hör auf, mich als einen "normalen" Menschen anzusehen!
You could at least try to be a bit more polite, even though it's not like you.	Du könntest zumindest versuchen, ein bisschen höflicher zu sein, auch wenn das nicht in deiner Natur liegt.
There will always be things I will never learn, I don't have eternity before me!	Es gibt immer Dinge, die ich nie lernen werde, ich habe nicht ewig Zeit.
This is impossible!	Das ist nicht möglich!
It can't be!	Das ist nicht möglich!
I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.	Ich wünschte, ich könnte mir mehr aus Noten machen, aber scheinbar habe ich an einem gewissen Punkt in meinem Leben entschieden, dass es nicht mehr so wichtig sei.
"A rolling stone gathers no moss" is a proverb.	„Wer rastet, der rostet“ ist ein Sprichwort.
Would you like something to drink?	Willst du etwas zum Trinken?
Would you like to drink anything?	Willst du etwas zum Trinken?
